Time,pageSeq,Conn. type,Element order,Page element,Element URL,Province,City,ISP,Prober IP,DNS Server,Host IP,Host City,Host ISP,Error description,Total duration,Total bytes,Element type,HTTP Status Code,HTTP HEAD size,Is HTTP compression supported,HTTP Server,HTTP Via,Start date,DNS time,Connection time,Request sent time,First packet time,Remain Packet Time,SSL hand-shaking time,Connection close time,Block Time,pageID,tranID
"2021-10-26 16:32:17","1","IDC","18","N","https://cdnn.engineeringvillage.com/867659b23434cca47e472a8a7801d269v4/bundles/application.js","Shaanxi","Xi'an","China Unicom","123.138.209.11","221.11.1.68(Xi'an China Unicom)","14.128.0.155","Osaka","未知","","465","39448","text/javascript","200","2409","1","PWS/8.3.1.0.8","1.1 PSmglsjLAX2nr164:8 (W), 1.1 PSrbdbOSA2sj134:0 (W), 1.1 PSrbJP1rt55:2 (W)","9599","0","0","0","455","10","0","0","293","367922","0"
"2021-10-26 16:32:17","1","IDC","27","N","https://cdnn.engineeringvillage.com/static/fonts/NexusSansWebPro-Bold.woff","Shaanxi","Xi'an","China Unicom","123.138.209.11","221.11.1.68(Xi'an China Unicom)","14.128.0.155","Osaka","未知","","1130","50479","font/woff","200","2292","1","PWS/8.3.1.0.8","1.1 PSrbJP1la58:6 (W)","10115","0","0","0","1052","78","0","0","169","367922","0"
"2021-10-26 16:32:17","1","IDC","46","N","https://cdn.pendo.engineeringvillage.com/guide-content/HpNET8R7_RqX8yr8dCJOgnI04Lo/407TNQ7HIWXysr3o1F6mqQycNqo/9EmBZI4D2oYgB73-_iDoV-usL0c.guide.css","Shaanxi","Xi'an","China Unicom","123.138.209.11","221.11.1.68(Xi'an China Unicom)","13.226.230.90","USA","未知","","377","1643","text/css","200","982","1","UploadServer","1.1 47e2c0381c3ebcfdb6d75ac56c4e9d25.cloudfront.net (CloudFront)","13868","0","0","0","372","5","0","0","1","367922","0"
"2021-10-26 16:32:17","1","IDC","26","N","https://cdnn.engineeringvillage.com/static/fonts/NexusSansWebPro.woff","Shaanxi","Xi'an","China Unicom","123.138.209.11","221.11.1.68(Xi'an China Unicom)","14.128.0.155","Osaka","未知","","1229","51035","font/woff","200","2293","1","PWS/8.3.1.0.8","1.1 PSrbJP1uy57:13 (W)","10114","0","0","0","961","268","0","0","87","367922","0"
"2021-10-26 16:32:17","1","IDC","20","N","https://cdnn.engineeringvillage.com/15ef90d4356eb3342166ef73604ff124v4/bundles/features.js","Shaanxi","Xi'an","China Unicom","123.138.209.11","221.11.1.68(Xi'an China Unicom)","14.128.0.155","Osaka","未知","","577","55257","text/javascript","200","2410","1","PWS/8.3.1.0.8","1.1 PSmglsjLAX2nr164:2 (W), 1.1 PSrbdbOSA2sj134:2 (W), 1.1 PSrbJP1rs54:0 (W)","9600","0","0","0","469","108","0","0","382","367922","0"
"2021-10-26 16:32:17","1","IDC","29","N","https://cdn.pendo.engineeringvillage.com/agent/static/d88f5387-b626-4f6a-62e6-e82534a961cf/pendo.js","Shaanxi","Xi'an","China Unicom","123.138.209.11","221.11.1.68(Xi'an China Unicom)","13.226.230.90","USA","未知","","1071","137439","application/javascript","200","979","1","UploadServer","1.1 47e2c0381c3ebcfdb6d75ac56c4e9d25.cloudfront.net (CloudFront)","11120","4","169","1","350","363","185","0","0","367922","0"
"2021-10-26 16:32:17","1","IDC","10","N","https://cdnn.engineeringvillage.com/5820dd49bc158b94e345a6d12b7323d4v4/bundles/application.css","Shaanxi","Xi'an","China Unicom","123.138.209.11","221.11.1.68(Xi'an China Unicom)","14.128.0.155","Osaka","未知","","545","29423","text/css","200","2376","1","PWS/8.3.1.0.8","1.1 PS-JFK-04AJ1232:2 (W), 1.1 hexi47:8 (W), 1.1 PSrbdbOSA2ju136:7 (W), 1.1 PSrbJP1rt55:3 (W)","9435","0","93","1","255","98","98","0","1","367922","0"
"2021-10-26 16:32:17","1","IDC","42","N","https://cdn.pendo.engineeringvillage.com/guide-content/PD30WyT-qqhchhdjvVJizyRuDrM/V0f1kmWpE-RambeOOWX-7c6yGW0/lVA0kM051gkKDjQuMVxdoNx1yBQ.guide.js","Shaanxi","Xi'an","China Unicom","123.138.209.11","221.11.1.68(Xi'an China Unicom)","13.226.230.90","USA","未知","","175","2401","application/javascript","200","999","1","UploadServer","1.1 47e2c0381c3ebcfdb6d75ac56c4e9d25.cloudfront.net (CloudFront)","13864","0","0","0","174","1","0","0","0","367922","0"
"2021-10-26 16:32:17","1","IDC","30","N","https://cdnn.engineeringvillage.com/search/history/shcount.url","Shaanxi","Xi'an","China Unicom","123.138.209.11","221.11.1.68(Xi'an China Unicom)","14.128.0.155","Osaka","未知","","875","2492","application/json","200","2459","1","PWS/8.3.1.0.8","1.1 PSrbJP1he53:9 (W)","11174","0","0","0","874","1","0","0","0","367922","0"
"2021-10-26 16:32:17","1","IDC","36","N","https://cdnn.engineeringvillage.com/static/fonts/ss-gizmo.woff","Shaanxi","Xi'an","China Unicom","123.138.209.11","221.11.1.68(Xi'an China Unicom)","14.128.0.155","Osaka","未知","","1446","96489","font/woff","200","2292","1","PWS/8.3.1.0.8","1.1 PSrbJP1rt55:5 (W)","11439","0","0","0","940","506","0","0","0","367922","0"
